po_line_id,po_id,order_date,supplier_id,part_id,warehouse_id,quantity_ordered,promised_date,received_date,quantity_received,unit_cost_gbp,order_status
POL000001,PO000001,2025-12-29,S006,P0021,W02,165,2026-01-16,2026-01-11,165,90.67,Complete
POL000002,PO000001,2025-05-20,S013,P0072,W05,454,2025-06-17,2025-06-17,454,99.65,Complete
POL000003,PO000001,2025-07-22,S044,P0018,W01,362,2025-08-15,2025-08-08,362,18.41,Complete
POL000004,PO000002,2025-08-09,S028,P0025,W05,350,2025-08-24,2025-08-26,350,200.93,Complete
POL000005,PO000002,2025-10-31,S038,P0085,W04,48,2025-11-24,2025-11-28,29,95.22,Complete
POL000006,PO000002,2025-08-08,S009,P0006,W05,77,2025-08-29,2025-08-31,77,341.43,Complete
POL000007,PO000003,2026-03-19,S011,P0053,W05,491,2026-04-09,2026-04-08,491,507.78,Complete
POL000008,PO000003,2025-07-16,S046,P0084,W02,385,2025-07-28,2025-07-31,379,480.32,Complete
POL000009,PO000003,2025-09-18,S021,P0054,W05,132,2025-09-27,2025-09-27,122,441.15,Complete
POL000010,PO000004,2025-08-16,S043,P0003,W03,430,2025-08-29,2025-08-28,430,376.27,Complete
POL000011,PO000004,2025-04-20,S039,P0019,W02,157,2025-04-26,2025-04-26,157,545.92,Complete
POL000012,PO000004,2026-02-16,S017,P0117,W05,178,2026-02-28,2026-03-02,178,231.41,Complete
POL000013,PO000005,2025-05-22,S046,P0093,W03,155,2025-06-07,2025-06-10,155,206.49,Complete
POL000014,PO000005,2025-06-28,S038,P0043,W04,249,2025-07-17,2025-07-16,249,116.4,Complete
POL000015,PO000005,2026-04-21,S007,P0105,W04,382,2026-05-06,2026-05-09,382,284.51,Complete
POL000016,PO000006,2026-07-24,S005,P0001,W02,87,2026-08-07,2026-08-11,87,398.43,Complete
POL000017,PO000006,2026-02-07,S007,P0006,W05,483,2026-02-21,2026-02-26,483,337.37,Complete
POL000018,PO000006,2026-07-04,S036,P0107,W05,155,2026-07-31,2026-08-04,155,15.35,Complete
POL000019,PO000007,2026-05-28,S007,P0081,W03,484,2026-06-15,2026-06-24,484,129.98,Complete
POL000020,PO000007,2025-10-16,S014,P0072,W03,435,2025-11-08,2025-11-13,429,100.08,Complete
POL000021,PO000007,2026-04-08,S021,P0042,W01,276,2026-04-15,2026-04-28,276,593.51,Complete
POL000022,PO000008,2025-07-17,S007,P0099,W04,48,2025-08-01,2025-08-08,48,101.75,Complete
POL000023,PO000008,2025-10-04,S016,P0073,W05,289,2025-11-02,2025-11-09,289,12.61,Complete
POL000024,PO000008,2025-11-18,S033,P0053,W05,382,2025-12-17,2025-12-12,378,469.88,Complete
POL000025,PO000009,2026-07-31,S047,P0046,W03,491,2026-08-27,2026-09-02,491,630.23,Complete
POL000026,PO000009,2026-05-25,S023,P0043,W05,53,2026-06-18,2026-06-24,53,102.6,Complete
POL000027,PO000009,2025-10-21,S036,P0070,W04,373,2025-11-13,2025-11-14,373,631.6,Complete
POL000028,PO000010,2026-01-27,S026,P0079,W03,149,2026-02-05,2026-01-26,139,416.33,Complete
POL000029,PO000010,2025-05-02,S023,P0097,W05,376,2025-05-29,2025-05-18,376,444.62,Complete
POL000030,PO000010,2026-04-28,S025,P0049,W01,293,2026-05-14,2026-05-14,285,582.93,Complete
POL000031,PO000011,2025-11-28,S047,P0031,W04,433,2025-12-25,2025-12-24,433,155.63,Complete
